Coder's initials,Enter the name of the journal:,Does the journal offer any type of PPPR?,A. Enter the name of the PPPR type offered by the journal:,A. Enter the verbatim description of this type of PPPR provided by the journal,A. Are there any word/comment limits for this type of PPPR?,A. Are there any time limits for submission of this type of PPPR?,A. Are there any reference limits for this type of PPPR?,A. Is this type of PPPR peer reviewed?,A. Are there any other types of PPPR in this journal?,B. Enter the name of the PPPR type offered by the journal:,B. Enter the verbatim description of this type of PPPR provided by the journal,B. Are there any word/comment limits for this type of PPPR?,B. Are there any time limits for submission of this type of PPPR?,B. Are there any reference limits for this type of PPPR?,B. Is this type of PPPR peer reviewed?,B. Are there any other types of PPPR in this journal?,C. Enter the name of the PPPR type offered by the journal:,C. Enter the verbatim description of this type of PPPR provided by the journal,C. Are there any word/comment limits for this type of PPPR?,C. Are there any time limits for submission of this type of PPPR?,C. Are there any reference limits for this type of PPPR?,C. Is this type of PPPR peer reviewed?,C. Are there any other types of PPPR in this journal?,D. Enter the name of the PPPR type offered by the journal:,D. Enter the verbatim description of this type of PPPR provided by the journal,D. Are there any word/comment limits for this type of PPPR?,D. Are there any time limits for submission of this type of PPPR?,D. Are there any reference limits for this type of PPPR?,D. Is this type of PPPR peer reviewed?,D. Are there any other types of PPPR in this journal?,E. Enter the name of the PPPR type offered by the journal:,E. Enter the verbatim description of this type of PPPR provided by the journal,E. Are there any word/comment limits for this type of PPPR?,E. Are there any time limits for submission of this type of PPPR?,E. Are there any reference limits for this type of PPPR?,E. Is this type of PPPR peer reviewed?
RTT,ALLERGY,YES,Letters to the Editor,"Letters to the Editor are brief reports that can be preliminary, but may represent original observations that may have a substantial impact within the scope of “Allergy”. They will be subject to peer review and will be indexed in Medline. They should begin with the salutation “To the Editor”. There should not be any separate abstract, but rather a conclusion paragraph sums up the Letter. Author names, affiliations, funding sources and conflict of interests should be listed at the end following references. Please note that single case reports will not be considered for publication.","YES (provide number of words/comments below), 1000",NOT STATED,"YES (provide number of references below), 9",YES,YES (opens another page),Correspondences,Correspondences that refer to a previously published original article are welcome to be published in Allergy.,"YES (provide number of words/comments below), 600",NOT STATED,"YES (provide number of references below), 6",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/RTT,ALLERGY,YES,Correspondence,Correspondences that refer to a previously published original article are welcome to be published in Allergy.,"YES (provide number of words/comments below), 600 words",NOT STATED,"YES (provide number of references below), 6",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,Alzheimers & Dementia,YES,Letters,"Letters are brief communications relating to the content of earlier issues of Alzheimer’s & Dementia or general topics of interest. Letters relating to earlier issues of Alzheimer’s & Dementia will be sent to the appropriate authors for review and to give them an opportunity to reply. Previously unpublished data or letters concerning articles published elsewhere, however, will not be considered.Length may not exceed 750 words(excluding the abstract, references, figures, and tables), a maximum of 10 references, no more than one figure.","YES (provide number of words/comments below), 750",NOT STATED,"YES (provide number of references below), 10","OTHER (provide detail), Letters relating to earlier issues of Alzheimer’s & Dementia will be sent to the appropriate authors for review and to give them an opportunity to reply.",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,Alzheimers & Dementia,YES,Letters,"Letters are brief communications relating to the content of earlier issues of 
Alzheimer’s & Dementia or general topics of interest. Letters relating to earlier issues of Alzheimer’s & Dementia will be sent to the appropriate authors for review and to give them an opportunity to reply. Previously unpublished data or letters concerning articles published elsewhere, however, will not be considered. Length may not exceed 750 words (excluding the abstract, references, figures, and tables), a maximum of 10 references, no more than one
figure","YES (provide number of words/comments below), 750",NOT STATED,"YES (provide number of references below), 10",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/TEH,Alzheimers & Dementia,YES,Letters,"Letters are brief communications relating to the content of earlier issues of Alzheimer’s & Dementia or general topics of interest. Letters relating to earlier issues of Alzheimer’s & Dementia will be sent to the appropriate authors for review and to give them an opportunity to reply. Previously unpublished data or letters concerning articles published elsewhere, however, will not be considered.Length may not exceed 750 words(excluding the abstract, references, figures, and tables), a maximum of 10 references, no more than one figure.","YES (provide number of words/comments below), 750",NOT STATED,"YES (provide number of references below), 10",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,AMERICAN JOURNAL OF POLITICAL SCIENCE,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,AMERICAN JOURNAL OF POLITICAL SCIENCE,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/TEH,AMERICAN JOURNAL OF POLITICAL SCIENCE,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,AMERICAN JOURNAL OF PSYCHIATRY,YES,Editorials,"""Editorials.""","YES (provide number of words/comments below), ""Brief commentaries (500-750 words)""",NOT STATED,NOT STATED,NOT STATED,YES (opens another page),Letters to the Editor,"""Letters to the Editor - Brief letters... [including] novel case reports and other uncontrolled observations should be submitted as Letters to the Editor... [or] letters critical of an article published in the Journal.""","YES (provide number of words/comments below), ""(maximum of 500 words, including references)""","YES (provide detail of time limits below), ""Letters critical of an article published in the Journal must be received within 6 weeks of the article’s publication. Letters received after the deadline will not be considered for publication.""","NO, Note - Not explicitly stated, however the inclusion of references in the word count will naturally limit the number of references used.","NO, Case reports only - ""Case reports will be peer reviewed; authors must provide a list of 4 suggested reviewers and their e-mail addresses.""",NO (submits form),Letters to the Editor,"""Letters to the Editor - Brief letters... [including] novel case reports and other uncontrolled observations should be submitted as Letters to the Editor... [or] letters critical of an article published in the Journal.""","YES (provide number of words/comments below), ""(maximum of 500 words, including references)""","YES (provide detail of time limits below), ""Letters critical of an article published in the Journal must be received within 6 weeks of the article’s publication. Letters received after the deadline will not be considered for publication.""","NO, Note: Not explicitly stated, however the inclusion of references in the word count will naturally limit the number of references used.","YES, Case reports only - ""Case reports will be peer reviewed; authors must provide a list of 4 suggested reviewers and their e-mail addresses.""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,AMERICAN JOURNAL OF PSYCHIATRY,YES,Letters to the Editor,"Brief letters (maximum of 500 words, including references) will be considered if they include a cover letter indicating that the correspondence is “for publication.” Novel case reports and other uncontrolled observations should be submitted as Letters to the Editor. Case reports will be peer reviewed; authors must provide a list of 4 suggested reviewers and their e-mail addresses. Letters critical of an article published in the Journal must be received within 6 weeks of the article’s publication. Letters received after the deadline will not be considered for publication; those considered will be sent to the article’s corresponding author to reply on behalf of the group, which will represent the final say on the matter. No additional letters discussing an exchange published in the Journal's Letters to the Editor will be considered. Such letters must include the title and author of the article and the month and year of publication. Letters that do not meet these specifications will be returned unreviewed. Letters will be published on a space-available basis.","YES (provide number of words/comments below), 500","YES (provide detail of time limits below), 6 weeks","YES (provide number of references below), Article must be a maximum of 500 words, including references","OTHER (provide detail), Not clear, it says ""those considered will be sent to the article’s corresponding author to reply"" on behalf of the group",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/TEH,AMERICAN JOURNAL OF PSYCHIATRY,YES,Letters to the Editor,"Brief letters (maximum of 500 words, including references) will be considered if they include a cover letter indicating that the correspondence is “for publication.” Novel case reports and other uncontrolled observations should be submitted as Letters to the Editor. Case reports will be peer reviewed; authors must provide a list of 4 suggested reviewers and their e-mail addresses. Letters critical of an article published in the Journal must be received within 6 weeks of the article’s publication. Letters received after the deadline will not be considered for publication; those considered will be sent to the article’s corresponding author to reply on behalf of the group, which will represent the final say on the matter. No additional letters discussing an exchange published in the Journal's Letters to the Editor will be considered. Such letters must include the title and author of the article and the month and year of publication. Letters that do not meet these specifications will be returned unreviewed. Letters will be published on a space-available basis.","YES (provide number of words/comments below), 500","YES (provide detail of time limits below), 6 weeks","YES (provide number of references below), Article must be a maximum of 500 words, including references",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,AMERICAN SOCIOLOGICAL REVIEW,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,AMERICAN SOCIOLOGICAL REVIEW,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/JEK,AMERICAN SOCIOLOGICAL REVIEW,YES,Comments,"ASR Comments/Replies should not exceed 3,000 words",3000.0,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,YES,Correspondence,"Correspondence or Comments on publications in Angewandte Chemie, ChemPubSoc Europe, and ACES journals are welcome if they contribute to the scientific discussion.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,YES,Correspondence or Comments,"Correspondence or Comments on publications in Angewandte Chemie, ChemPubSoc Europe, and ACES journals are welcome if they contribute to the scientific discussion. The author of the publication to which the Correspondence pertains will have the opportunity to reply. This reply will be sent to the author of the Correspondence.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/RTT,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,YES,Correspondence or Comments,"Correspondence or Comments on publications in Angewandte Chemie, ChemPubSoc Europe, and ACES journals are welcome if they contribute to the scientific discussion. The author of the publication to which the Correspondence pertains will have the opportunity to reply. This reply will be sent to the author of the Correspondence.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,ANNALS OF INTERNAL MEDICINE,YES,"Commentary (""Editorial"")","""Commentary on current topics or on papers published elsewhere in the issue.""","YES (provide number of words/comments below), ""1000 words maximum (excludes references)""","YES (provide detail of time limits below), None explicitly given, however the description of the article type states - ""Commentary on current topics or on papers published elsewhere in the issue. [Typically solicited... by Editors]"". Implies that commentary received after publishing will not be included in future issues.","YES (provide number of references below), ""10 or fewer bibliographic references.""","NO, ""[Typically solicited and reviewed by Editors]""",YES (opens another page),"Letters to the Editor (""Letters: Comments"")","""Comments on papers published in Annals.""","YES (provide number of words/comments below), ""400 words maximum (excludes references)""","YES (provide detail of time limits below), ""Anyone can submit a comment any time after publication, but only those submitted within 4 weeks of an article’s publication will be considered for print publication... One month after publication, editors review all posted comments and select some for publication in the Letters section of the print version of Annals.""","YES (provide number of references below), ""5 or fewer bibliographic references""","NO, ""[Not peer-reviewed]""",YES (opens another page),"Below the line comments (""Comments"")","""Comment - Comments on papers published in Annals.""","NOT STATED, Note: Text is submitted via a text box of unknown size.",NOT STATED,NO,"NO, ""Comments are moderated [by the Editors]""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,ANNALS OF INTERNAL MEDICINE,YES,Letters: Comments,"Comments on papers published in Annals. Anyone can submit a comment any time after publication, but only those submitted within 4 weeks of an article’s publication will be considered for print publication.  Readers wishing to comment must have access to the article. One month after publication, editors review all posted comments and select some for publication in the Letters section of the print version of Annals. [Not peer-reviewed]","YES (provide number of words/comments below), 400","YES (provide detail of time limits below), 4 weeks for print version. It's unclear if they'll publish online comments after 4 weeks.","YES (provide number of references below), 5",NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/RTT,ANNALS OF INTERNAL MEDICINE,YES,Letters: Comments,"Comments on papers published in Annals. Anyone can submit a comment any time after publication, but only those submitted within 4 weeks of an article’s publication will be considered for print publication.  Readers wishing to comment must have access to the article. One month after publication, editors review all posted comments and select some for publication in the Letters section of the print version of Annals. [Not peer-reviewed]","YES (provide number of words/comments below), 400","YES (provide detail of time limits below), ""Anyone can submit a comment any time after publication, but only those submitted within 4 weeks of an article’s publication will be considered for print publication... One month after publication, editors review all posted comments and select some for publication in the Letters section of the print version of Annals.""","YES (provide number of references below), 5",NO,NO (submits form),"Below the line comments (""Comments"")","""Comment - Comments on papers published in Annals.""","NOT STATED, Note: Text is submitted via a text box of unknown size.",NOT STATED,NO,"NO, ""Comments are moderated [by the Editors]""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,ANNALS OF MATHEMATICS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,ANNALS OF MATHEMATICS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/JEK,ANNALS OF MATHEMATICS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,ANNALS OF NEUROLOGY,YES,Letters to the Editor and Replies,"Letters should be limited to 400 words and may include one table or figure, if essential, and five or fewer references. Only letters addressing previously published articles will be considered. Letters are not an appropriate way to report new research unless it bears directly on the results of a previously published article.","YES (provide number of words/comments below), 400",NOT STATED,"YES (provide number of references below), 5",NOT STATED,YES (opens another page),Commentaries,"Editorials and Commentaries: Commentaries are invited discussions of new papers, and are usually published in the same issue as the target article. Editorials are short opinion pieces concerning issues facing modern academic neurology. Both types of articles are generally invited, and those who seek to write them are encouraged to contact the Editor-in-chief. Editorials and Commentaries should be less than 1,000 words.","YES (provide number of words/comments below), 1000",NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
